Epoch,Training Loss,Validation Loss,Map,Map 50,Map 75,Mar 1,Mar 10,Mar 100,Map Class 0,Map Class 1,Map Class 2,Map Class 3,Map Class 4,Map Class 5,Map Class 6,Mar 100 Class 0,Mar 100 Class 1,Mar 100 Class 2,Mar 100 Class 3,Mar 100 Class 4,Mar 100 Class 5,Mar 100 Class 6
0.78,4.1468,4.0411,0.0087,0.0192,0.0071,0.0167,0.0324,0.0324,0.04623645917,0,0.0008125691675,0,0.01262705121,0,0.001291983877,0.1765443981,0,0.01089108922,0,0.01826483943,0,0.02127659507
1.56,4.194,4.0133,0.0095,0.0202,0.0078,0.0185,0.0342,0.0342,0.04824968055,0,0.0006883515744,0,0.01656716317,0,0.001167490613,0.1728281826,0,0.009735973552,0,0.03242009133,0,0.02411347441
2.34,3.9605,3.7443,0.0113,0.024,0.0092,0.0207,0.0389,0.0389,0.05232662708,0,0.008277339861,0,0.01615903899,0,0.002003911184,0.1811776012,0,0.01171617117,0,0.04779299721,0,0.03161094338
3.12,3.7367,3.7225,0.0127,0.0271,0.0102,0.0222,0.0429,0.0429,0.06071330234,0,0.008382072672,0,0.01668988541,0.0001313720568,0.002970764879,0.1877654493,0,0.01390263997,0,0.05388128012,0.005785123911,0.03893110529
3.91,3.6339,3.6414,0.0151,0.032,0.0126,0.0241,0.0467,0.0467,0.06824539602,0.0009900990408,0.008812529035,0,0.02264127508,9.55E-05,0.004885945935,0.1915251017,0.0002424242412,0.01871287078,0,0.06410958618,0.006446280982,0.04555217922
4.69,3.5368,3.4403,0.017,0.0349,0.014,0.0263,0.0502,0.0502,0.07444033772,0.001328594401,0.003696916858,0,0.02982231416,0.0008005613345,0.008707632311,0.1941602379,0.003131313017,0.01826182567,0,0.06887366623,0.00964187365,0.05749746785
5.47,3.3781,3.2647,0.0196,0.0403,0.0162,0.0283,0.0542,0.0542,0.07894252986,0.00330425892,0.005874663591,0.005346534774,0.03283709288,0.001082040719,0.009714609943,0.2004826218,0.004588744603,0.01980197988,0.0014829461,0.07756034285,0.01251475792,0.06313504279
6.25,3.3963,3.3014,0.0198,0.0406,0.0165,0.031,0.0586,0.0586,0.07857409865,0.002693906659,0.01095251273,0.001456697355,0.03381899372,0.001724592177,0.009445087984,0.2039454579,0.006590908859,0.02351485193,0.002811418613,0.08607305586,0.02045454457,0.06689462811
7.03,3.3532,3.2767,0.0217,0.0446,0.0186,0.0352,0.0648,0.0648,0.08428213,0.00304777245,0.01231958438,0.001715984428,0.03654558212,0.003238566453,0.01057812013,0.2071857601,0.007003366947,0.02845617943,0.005613225512,0.1015220731,0.03379246965,0.07021276653
7.81,3.1127,3.2209,0.0245,0.0498,0.0211,0.038,0.0696,0.0696,0.09061206132,0.002993141999,0.01283582672,0.003690356156,0.03761321306,0.01201006211,0.01198535785,0.2094691098,0.008363636211,0.03046204709,0.008373702876,0.1101826504,0.04512396827,0.07545085996
8.59,3.1775,3.1662,0.0269,0.0539,0.0243,0.0411,0.0743,0.0743,0.09162214398,0.00125317846,0.01444638427,0.008817446418,0.04345640913,0.01509403251,0.01394146495,0.2134257704,0.009090908803,0.03360335901,0.01330607105,0.1174346209,0.05642374232,0.07680758834
9.38,3.1419,3.0182,0.0297,0.0584,0.027,0.0437,0.0782,0.0782,0.09514405578,0.002545059193,0.01627055369,0.008199054748,0.04688128829,0.02035913244,0.01845024712,0.2176560462,0.01166666672,0.03633113205,0.01435986161,0.1184550971,0.06893939525,0.07989699394
10.16,3.0921,3.003,0.0302,0.061,0.0256,0.0463,0.0827,0.0827,0.09758389741,0.006373511627,0.01742025651,0.008713486604,0.04874408618,0.01942335814,0.01346276421,0.2182877958,0.01557109598,0.04075907543,0.01892467402,0.1239550412,0.08010171354,0.08163821697
10.94,2.964,2.9448,0.0331,0.0657,0.0288,0.0499,0.0877,0.0877,0.1032065302,0.007576418109,0.01803449541,0.01137595903,0.05264571309,0.02358655259,0.01497034449,0.2224558741,0.01974025927,0.04212635383,0.02360355854,0.1306588352,0.09167650342,0.08358662575
11.72,2.9554,2.8727,0.0357,0.071,0.0314,0.0529,0.092,0.092,0.1065044031,0.008357521147,0.01859544776,0.01273930818,0.0557403788,0.02998699248,0.01799848117,0.2256306261,0.02383838408,0.04577557743,0.02758938819,0.1338508427,0.1008815393,0.08644376695
12.5,2.6755,2.7571,0.0381,0.0766,0.0329,0.057,0.0973,0.0973,0.1114278734,0.007701957133,0.01967100054,0.01646545343,0.05648297444,0.03530606627,0.01969337463,0.2284869701,0.02617424168,0.04931930825,0.03451557085,0.1394121051,0.1126549616,0.09084979445
13.28,2.7857,2.7355,0.0411,0.0814,0.0362,0.0601,0.1016,0.1016,0.1155671924,0.01019769907,0.02036297508,0.01847345941,0.05874854699,0.04219961911,0.02237617224,0.2314615101,0.03005347587,0.05247524753,0.03916141018,0.1449637413,0.1198833287,0.09348590672
14.06,2.4419,2.5641,0.0439,0.0874,0.0385,0.064,0.1069,0.1069,0.1178856939,0.01256457996,0.02252984419,0.01985805668,0.06335312873,0.04805980623,0.02310897969,0.2344111949,0.03670033813,0.05713237822,0.04546328261,0.1496194899,0.1292010993,0.0960092321
14.84,2.5962,2.614,0.0463,0.0923,0.0405,0.0672,0.1116,0.1116,0.1220045462,0.01115600206,0.02357079275,0.0222501494,0.06721360236,0.05404386297,0.02417328954,0.2358311266,0.04146730527,0.05999652669,0.05144782364,0.1566450447,0.1373205781,0.09836826473
15.62,2.5992,2.6493,0.0478,0.0964,0.0416,0.0701,0.1156,0.1156,0.119060874,0.01320318785,0.0238048099,0.02366675809,0.07104818523,0.06062887236,0.02351595089,0.2391698807,0.04581818357,0.06427393109,0.05527681485,0.1593150645,0.147685945,0.09775582701
16.41,2.6462,2.5972,0.0497,0.0992,0.0443,0.0725,0.1193,0.1193,0.1253013313,0.01577876881,0.02504820004,0.02586511523,0.07408092916,0.05849889293,0.02366984822,0.2426043451,0.05085137114,0.06543297321,0.05869171023,0.1622744054,0.1550177038,0.09991797805
17.19,2.4706,2.4914,0.0524,0.104,0.0465,0.076,0.1238,0.1238,0.1299899668,0.01576132514,0.02641410008,0.02835282683,0.07700449973,0.06418990344,0.025096884,0.2456475943,0.05586776882,0.06862436235,0.0647373423,0.1665421277,0.1636739224,0.101717785
17.97,2.4022,2.6025,0.0538,0.1067,0.0488,0.0779,0.1267,0.1267,0.131302461,0.01669127122,0.02697867155,0.03037323244,0.07948648185,0.065467529,0.02663255483,0.24881652,0.05733860284,0.06982350349,0.06813599914,0.1693468392,0.1705354005,0.1029029563
18.75,2.3806,2.4377,0.0565,0.1116,0.051,0.0809,0.1307,0.1307,0.1353938282,0.01916601881,0.02839402296,0.03170689195,0.08289874345,0.07009256631,0.02807055973,0.2516007125,0.06212121248,0.07227034867,0.071640715,0.1760654449,0.1762741059,0.1052769348
